date,year,week,cases_per_sentinel,fear_index_avg,fear_index_weighted,weekly_deaths,fear_index,dining_index
2023-02-13,2023,7,12.29,1.4,1.8666666666666667,26.0,1.8666666666666667,28.210526315789473
2023-02-20,2023,8,11.44,1.6,2.066666666666667,21.0,2.066666666666667,26.94736842105263
2023-02-27,2023,9,10.16,1.2,1.6,21.0,1.6,29.157894736842106
2023-03-06,2023,10,12.9,1.4,1.8666666666666667,11.0,1.8666666666666667,31.36842105263158
2023-03-13,2023,11,12.09,1.0,1.3333333333333333,9.0,1.3333333333333333,31.36842105263158
2023-03-20,2023,12,8.75,1.4,1.8,6.0,1.8,29.526315789473685
2023-03-27,2023,13,5.16,1.4,1.8666666666666667,6.0,1.8666666666666667,28.210526315789473
2023-04-03,2023,14,3.21,1.2,1.6,10.0,1.6,25.36842105263158
2023-04-10,2023,15,2.38,1.6,2.0,6.0,2.0,29.157894736842106
2023-04-17,2023,16,2.94,1.4,1.8666666666666667,11.0,1.8666666666666667,28.526315789473685
2023-04-24,2023,17,4.11,1.6,2.066666666666667,9.0,2.066666666666667,31.105263157894736
2023-05-01,2023,18,2.26,1.8,2.333333333333333,14.0,2.333333333333333,26.57894736842105
2023-05-08,2023,19,1.26,1.6,2.0,1.0,2.0,27.263157894736842
2023-05-15,2023,20,1.98,1.2,1.5333333333333334,0.0,1.5333333333333334,26.57894736842105
2023-05-22,2023,21,1.38,1.4,1.8,0.0,1.8,25.05263157894737
2023-05-29,2023,22,1.41,1.4,1.8,0.0,1.8,27.57894736842105
2023-06-05,2023,23,0.99,1.6,2.066666666666667,0.0,2.066666666666667,28.05263157894737
2023-06-12,2023,24,0.77,2.0,2.466666666666667,0.0,2.466666666666667,28.842105263157894
2023-06-19,2023,25,0.4,2.0,2.466666666666667,0.0,2.466666666666667,27.842105263157894
2023-06-26,2023,26,0.25,2.2,2.8,0.0,2.8,28.526315789473685
2023-07-03,2023,27,0.11,2.2,2.8,0.0,2.8,27.842105263157894
2023-07-10,2023,28,0.15,2.6,3.333333333333333,0.0,3.333333333333333,27.526315789473685
2023-07-17,2023,29,0.4,2.4,3.2,0.0,3.2,25.36842105263158
2023-07-24,2023,30,0.29,2.8,3.6,0.0,3.6,27.57894736842105
2023-07-31,2023,31,0.14,2.6,3.333333333333333,0.0,3.333333333333333,28.263157894736842
2023-08-07,2023,32,0.21,3.0,3.8666666666666663,0.0,3.8666666666666663,28.57894736842105
2023-08-14,2023,33,0.42,2.8,3.733333333333333,0.0,3.733333333333333,25.736842105263158
2023-08-21,2023,34,0.5,3.2,4.066666666666666,0.0,4.066666666666666,25.736842105263158
2023-08-28,2023,35,1.43,2.6,3.333333333333333,0.0,3.333333333333333,27.263157894736842
2023-09-04,2023,36,1.58,3.0,3.8666666666666663,0.0,3.8666666666666663,26.31578947368421
2023-09-11,2023,37,1.79,2.6,3.333333333333333,0.0,3.333333333333333,28.68421052631579
2023-09-18,2023,38,1.4,2.0,2.6666666666666665,0.0,2.6666666666666665,28.05263157894737
2023-09-25,2023,39,2.09,1.2,1.6,0.0,1.6,28.36842105263158
2023-10-02,2023,40,3.78,1.2,1.5333333333333334,0.0,1.5333333333333334,29.0
2023-10-09,2023,41,4.9,1.2,1.5333333333333334,0.0,1.5333333333333334,27.842105263157894
2023-10-16,2023,42,9.19,1.0,1.3333333333333333,0.0,1.3333333333333333,27.842105263157894
2023-10-23,2023,43,19.58,1.2,1.5333333333333334,0.0,1.5333333333333334,28.05263157894737
2023-10-30,2023,44,24.68,1.0,1.2666666666666666,0.0,1.2666666666666666,28.473684210526315
2023-11-06,2023,45,25.78,0.8,1.0666666666666669,0.0,1.0666666666666669,31.36842105263158
2023-11-13,2023,46,39.21,0.8,1.0666666666666669,0.0,1.0666666666666669,29.105263157894736
2023-11-20,2023,47,51.9,1.0,1.2666666666666666,0.0,1.2666666666666666,30.526315789473685
2023-11-27,2023,48,50.49,0.8,1.0666666666666669,0.0,1.0666666666666669,35.473684210526315
2023-12-04,2023,49,60.97,0.8,1.0666666666666669,0.0,1.0666666666666669,34.421052631578945
2023-12-11,2023,50,47.25,1.0,1.2666666666666666,0.0,1.2666666666666666,29.263157894736842
2023-12-18,2023,51,36.66,0.8,1.0666666666666669,0.0,1.0666666666666669,34.21052631578947
2023-12-25,2023,52,24.19,1.0,1.3333333333333333,0.0,1.3333333333333333,27.263157894736842
2024-01-01,2024,1,10.55,1.8,2.2666666666666666,0.0,2.2666666666666666,26.0
2024-01-08,2024,2,7.4,1.6,2.1333333333333333,0.0,2.1333333333333333,25.36842105263158
2024-01-15,2024,3,5.36,1.6,2.1333333333333333,0.0,2.1333333333333333,23.42105263157895
2024-01-22,2024,4,7.04,1.8,2.2666666666666666,0.0,2.2666666666666666,23.789473684210527
2024-01-29,2024,5,11.47,1.4,1.8666666666666667,0.0,1.8666666666666667,28.0
2024-02-05,2024,6,16.76,1.6,2.0,0.0,2.0,25.42105263157895
2024-02-12,2024,7,21.12,1.2,1.6,0.0,1.6,26.57894736842105
2024-02-19,2024,8,24.21,0.8,1.0666666666666669,0.0,1.0666666666666669,24.42105263157895
2024-02-26,2024,9,27.37,1.6,1.9333333333333331,0.0,1.9333333333333331,28.63157894736842
2024-03-04,2024,10,35.01,1.0,1.3333333333333333,0.0,1.3333333333333333,29.736842105263158
2024-03-11,2024,11,33.66,0.6,0.8,0.0,0.8,30.63157894736842
2024-03-18,2024,12,24.31,1.0,1.3333333333333333,0.0,1.3333333333333333,27.31578947368421
2024-03-25,2024,13,15.17,0.8,1.0666666666666669,0.0,1.0666666666666669,25.42105263157895
2024-04-01,2024,14,6.9,0.6,0.8,0.0,0.8,26.789473684210527
